dijkstra_time_ms,bellman_ford_time_ms,size_n
3.864e-06,3.248e-06,10
3.294e-06,2.834e-06,10
2.576e-06,1.923e-06,10
3.213e-06,2.745e-06,10
3.326e-06,2.853e-06,10
3.321e-06,2.896e-06,10
3.071e-06,2.735e-06,10
3.056e-06,2.856e-06,10
2.832e-06,1.901e-06,10
2.47e-06,1.876e-06,10
3.478e-06,2.832e-06,10
3.703e-06,2.856e-06,10
3.275e-06,2.944e-06,10
2.398e-06,1.942e-06,10
2.457e-06,1.883e-06,10
3.002e-06,2.792e-06,10
3.344e-06,2.79e-06,10
3.171e-06,2.773e-06,10
3.136e-06,2.789e-06,10
3.084e-06,2.788e-06,10
2.337e-06,1.883e-06,10
3.115e-06,2.881e-06,10
3.279e-06,2.776e-06,10
3.106e-06,2.834e-06,10
3.162e-06,2.754e-06,10
3.181e-06,2.79e-06,10
2.333e-06,1.885e-06,10
2.356e-06,1.951e-06,10
3.032e-06,2.744e-06,10
3.143e-06,2.817e-06,10
3.227e-06,2.783e-06,10
3.163e-06,2.74e-06,10
6.899e-06,8.317e-06,20
6.915e-06,8.46e-06,20
7.006e-06,8.495e-06,20
7.21e-06,8.391e-06,20
7.079e-06,9.29e-06,20
7.574e-06,8.63e-06,20
4.923e-06,5.405e-06,20
7.053e-06,8.47e-06,20
7.197e-06,8.443e-06,20
7e-06,8.38e-06,20
6.976e-06,8.454e-06,20
7.04e-06,8.382e-06,20
4.947e-06,5.603e-06,20
4.901e-06,5.38e-06,20
6.859e-06,8.406e-06,20
7.105e-06,8.423e-06,20
6.841e-06,8.4e-06,20
7.033e-06,8.447e-06,20
4.995e-06,5.441e-06,20
4.886e-06,5.495e-06,20
6.91e-06,8.394e-06,20
7.308e-06,8.429e-06,20
7.084e-06,8.456e-06,20
6.95e-06,8.42e-06,20
7.037e-06,8.315e-06,20
4.914e-06,5.394e-06,20
7.051e-06,8.53e-06,20
6.928e-06,8.357e-06,20
6.986e-06,8.414e-06,20
7.115e-06,8.444e-06,20
6.902e-06,8.414e-06,20
6.93e-06,8.454e-06,20
9.373e-06,1.2242e-05,30
8.949e-06,1.1218e-05,30
1.2582e-05,1.766e-05,30
1.2471e-05,1.7466e-05,30
1.2515e-05,1.7503e-05,30
9.333e-06,1.1111e-05,30
1.2788e-05,1.7403e-05,30
8.936e-06,1.0922e-05,30
1.3088e-05,2.4457e-05,30
1.2782e-05,1.7475e-05,30
1.2283e-05,1.7363e-05,30
1.2565e-05,1.7399e-05,30
1.3114e-05,1.9394e-05,30
8.327e-06,1.099e-05,30
8.396e-06,1.0877e-05,30
1.2654e-05,1.7451e-05,30
1.2919e-05,1.7493e-05,30
1.2744e-05,1.7381e-05,30
1.2508e-05,1.7506e-05,30
8.859e-06,1.1065e-05,30
8.852e-06,1.1184e-05,30
1.2582e-05,1.7398e-05,30
1.2542e-05,1.7534e-05,30
1.2408e-05,1.7417e-05,30
1.3041e-05,1.77e-05,30
1.043e-05,1.1113e-05,30
1.24e-05,1.8154e-05,30
8.686e-06,1.1076e-05,30
1.2571e-05,1.746e-05,30
1.2499e-05,1.7418e-05,30
1.2425e-05,1.7346e-05,30
1.2467e-05,1.7311e-05,30
1.9961e-05,2.976e-05,40
1.3759e-05,1.8253e-05,40
2.0237e-05,2.9836e-05,40
2.0059e-05,2.991e-05,40
1.967e-05,3.0055e-05,40
1.4208e-05,1.8369e-05,40
1.3657e-05,1.8765e-05,40
1.9406e-05,2.9774e-05,40
2.0355e-05,2.9745e-05,40
1.9688e-05,2.9831e-05,40
1.9864e-05,2.9759e-05,40
2.0126e-05,2.9841e-05,40
1.9576e-05,2.969e-05,40
1.3673e-05,1.9045e-05,40
2.0159e-05,2.9767e-05,40
1.9565e-05,2.9736e-05,40
1.9594e-05,2.9822e-05,40
1.9817e-05,2.9863e-05,40
1.4596e-05,2.0125e-05,40
1.3441e-05,1.8497e-05,40
2.0417e-05,2.9784e-05,40
1.9575e-05,2.9776e-05,40
